product_id,product_name,product_description,product_currentprice,product_discount,product_actualprice,product_category,product_image,product_manufacturer,inventory,store_zipcode
1,Pike - Frozen Fillet,Sprite - 355 Ml,311.17,3,448,food,/images/food/13.jpg,Osinski Group,84,95048	
2,"Shrimp - 16/20, Peeled Deviened","Juice - Tomato, 48 Oz",0.96,7,417,food,/images/food/14.jpg,Friesen LLC,82,39410
3,Bai Bubbles,Sparkling Pineapple Water,121.24,7,158,beverages,/images/beverages/8.jpg,Mante Group,05,35243	
4,Bubbly,Sparkling Water,90.49,1,95,beverages,/images/beverages/9.jpg,"Hudson, Wisozk and King",88,03016
5,Muna,Energy Bar,5.77,0,5.77,pchb,/images/pchb/10.jpg,Wyman Group,43,04990 CEDEX 9	
6,Navitas,Superfood Power Snack,61.80,3,126.27,pchb,/images/pchb/11.jpg,Franecki Group,22,70593	
7,Alaffia,Bar Soap,8.73,0,8.73,bcb,/images/bcb/17.jpg,"Carter, Gibson and Pfannerstill",82,35214	
8,Accure,Hydrating Gel,12.51,7,43.48,bcb,/images/bcb/18.jpg,"McKenzie, Kling and Nolan",41,85423
9,Cascade Platinum,Dishwasher Pods,$20,4,$19.20,household,/images/household/24.jpg,Blanda-Blick,48,45896
10,Febreeze,Air Freshner,$15,7,$13.95,household,/images/household/25.jpg,Roob LLC,06,36541
